resort,lat,lon,altitude,north_south,east_west
whitetail,39.741572,-77.934438,323.6401367,south,east
liberty-mountain,39.763111,-77.374124,211.5574036,south,east
plumas-eureka-ski-bowl,39.767073,-120.699594,1309.20874,south,west
mystic-mountain-farmington,39.814008,-79.546123,498.6682434,south,east
winter-park-resort,39.874749,-105.760349,2573.724121,south,rockies
eldora-mountain,39.937995,-105.584643,2350.523926,south,rockies
seven-springs,40.022098,-79.298971,594.3474121,south,east
granby-ranch,40.044327,-105.905419,2700.263916,south,rockies
hidden-valley-pa,40.05777082,-79.2569288,607.9041138,south,east
roundtop,40.109506,-76.926586,159.7716827,south,east
laurel-mountain,40.163662,-79.166446,628.4156494,south,east
stagecoach-mountain,40.25243,-106.857126,2853.315186,south,rockies
spring-mountain,40.271747,-75.450116,146.4038849,south,east
blue-knob,40.288778,-78.563751,530.4283447,south,east
stover-mountain,40.29050223,-121.2884893,1059.175415,south,west
mad-river-mountain,40.316621,-83.678384,281.0569763,south,midwest
coppervale,40.345341,-120.903829,1413.209473,south,west
infinity-slopes-loveland,40.38042094,-105.0837932,1809.206421,south,rockies
sundance,40.391418,-111.57893,1911.414185,south,rockies
hoedown-hill-windsor,40.453945,-104.929665,1740.32605,south,rockies
steamboat,40.45724,-106.804345,2755.007568,south,rockies
boyce-park,40.46127201,-79.74778779,409.0328674,south,east
bear-creek-mountain-resort,40.476172,-75.626509,212.4966583,south,east
howelsen-hill-steamboat-springs,40.482381,-106.836677,2748.606934,south,rockies
bowes-ski-hill-steamboat-springs,40.501853,-106.824117,2738.178223,south,rockies
snowbird,40.581069,-111.656408,1770.218018,south,rockies
powderbird,40.58419215,-111.6508156,1775.51001,south,rockies
alta,40.5885904,-111.6388612,1787.467651,south,rockies
brighton,40.597279,-111.584406,1845.142944,south,rockies
solitude,40.623517,-111.59829,1822.167114,south,rockies
deer-valley,40.63796042,-111.4786617,1949.758057,south,rockies
snow-trails,40.672389,-82.500281,271.6958313,south,midwest
park-city,40.687874,-111.547327,1859.379883,south,rockies
utah-olympic-park,40.71108,-111.563218,1835.119629,south,rockies
ruby-mountain,40.729991,-115.469852,1837.449707,south,rockies
woodward-park-city,40.753737,-111.584263,1799.601074,south,rockies
tussey-mountain,40.76952239,-77.7528683,368.4231873,south,east
big-snow-american-dream,40.809339,-74.070994,27.93882942,south,east
blue-mountain,40.820998,-75.513366,275.6321106,south,east
elko-snobowl,40.908635,-115.854054,1876.233643,south,rockies
eagle-rock,40.930164,-76.108315,326.4576111,south,east
shawnee-mountain,41.039594,-75.081071,288.371521,south,east
big-boulder,41.04988568,-75.60022335,328.2630615,south,east
camelback,41.050737,-75.355783,310.9093323,south,east
campgaw-mountain,41.059431,-74.195553,74.9332428,south,east
wasatch-peaks-ranch,41.099989,-111.816592,1504.126587,south,rockies
alpine-mountain-ski-snow-tubing-center,41.113002,-75.225942,315.3963928,south,east
jack-frost-mountain,41.114086,-75.650243,338.1846008,south,east
mountain-creek-vernon,41.17821,-74.530832,183.7734528,south,east
snowbasin,41.21653257,-111.8573337,1496.866943,south,rockies
mount-peter,41.247047,-74.295009,121.8662109,south,east
diamond-peaks,41.262002,-111.780095,1577.351929,south,rockies
boston-mills,41.264483,-81.565161,263.0518494,south,midwest
brandywine,41.285496,-81.555489,260.1777344,south,midwest
nordic-valley,41.309221,-111.864479,1517.388794,south,rockies
mt-shasta-ski-park,41.320985,-122.204287,1171.449829,south,west
green-mountain-brush-creek-ranch,41.33123078,-106.6061285,2339.9375,south,rockies
snowy-range,41.340703,-106.18291,2304.376221,south,rockies
montage-mountain-resort,41.35001,-75.661924,361.3044739,south,east
powder-mountain,41.383583,-111.776844,1607.556641,south,rockies
mt-crescent,41.39452132,-95.86165289,331.6807861,south,midwest
victor-constant-west-point,41.39582116,-73.98371066,36.52210617,south,east
snowstar,41.425493,-90.749861,193.4380341,south,midwest
powder-ridge-mountain-park-resort,41.501758,-72.737287,129.2928925,south,east
thunder-ridge,41.508447,-73.584792,86.05019379,south,east
yawgoo-valley,41.517298,-71.527217,35.63191605,south,east
sawmill-mountain-resort,41.518531,-77.289945,425.9000854,south,east
big-bear-at-masthope-mountain,41.527684,-75.018956,420.6670532,south,east
alpine-valley-ohio,41.529181,-81.259547,229.3041534,south,midwest
mt-southington,41.582116,-72.925433,170.2888336,south,east
sleepy-hollow-sports-park-des-moines,41.588595,-93.533212,320.046051,south,midwest
woodbury,41.590488,-73.25545,144.7741547,south,east
holiday-mountain-ny,41.627768,-74.612934,293.0282288,south,east
big-creek-ski-area,41.646536,-81.183224,211.3755188,south,midwest
rocking-horse-ranch,41.691208,-74.016472,52.84788132,south,east
elk-mountain,41.7226665,-75.55303593,410.1414795,south,east
villa-roma,41.76115184,-74.97347925,477.0126648,south,east
denton-hill-state-park,41.77496,-77.828898,592.5042114,south,east
four-lakes,41.78158095,-88.08363724,216.4600067,south,midwest
mohawk-mountain,41.836905,-73.315214,197.0516357,south,east
mount-pleasant,41.852032,-80.071592,362.1378479,south,east
sundown,41.88475231,-72.94587299,272.8355408,south,east
cherry-peak,41.926055,-111.757151,1736.956909,south,rockies
swiss-valley,41.95278526,-85.82630889,276.8579102,south,midwest
beaver-mountain,41.968527,-111.541757,1818.863892,south,rockies
villa-olivia-bartlett,42.014228,-88.223057,219.5921783,north,midwest
seven-oaks,42.03042,-93.953663,328.8192444,north,midwest
peekn-peak,42.0637867,-79.73652917,391.9365845,north,east
mt-ashland,42.081313,-122.704933,1374.637451,north,west
pine-creek,42.103224,-110.82841,1975.46167,north,rockies
polar-peak,42.125137,-73.693007,165.9174805,north,east
belleayre-mountain,42.140589,-74.501476,292.0869141,north,east
plumtree-fawnridge-lake-carroll,42.16875016,-89.88981076,233.7839966,north,midwest
catamount,42.168912,-73.477389,239.1472015,north,east
butternut,42.182745,-73.319493,289.6149902,north,east
magic-mountain-resort,42.18714258,-114.2859563,1626.683472,north,rockies
blandford,42.194395,-72.911985,371.4457092,north,east
otis-ridge,42.196152,-73.098212,359.6903381,north,east
hunter-mountain,42.204298,-74.211836,173.2521362,north,east
blue-hills,42.21471954,-71.11901998,49.35946655,north,east
warner-canyon-lakeview,42.23692752,-120.2958025,1543.413818,north,west
holiday-valley,42.261518,-78.668675,461.7374573,north,east
cockaigne,42.265348,-79.163439,398.0641174,north,east
holimont,42.272943,-78.688309,454.8517151,north,east
plattekill,42.290143,-74.653978,326.9545288,north,east
windham-mountain,42.297955,-74.257908,193.3520508,north,east
ward-hill-shrewsbury,42.301165,-71.682852,157.2843933,north,east
pomerelle,42.317658,-113.608273,1456.266968,north,rockies
chestnut-mountain,42.31960517,-90.40170782,254.6291046,north,midwest
timber-ridge,42.39182449,-85.78130835,244.6054535,north,midwest
bousquet,42.418908,-73.277592,373.1686707,north,east
bittersweet,42.46684,-85.758969,238.9040222,north,midwest
swain,42.476054,-77.856133,455.9815063,north,east
wilmot-mountain,42.498745,-88.188647,226.7613983,north,midwest
wachusett-mountain,42.502031,-71.88679,230.8289032,north,east
greek-peak,42.507708,-76.145455,281.4632568,north,east
sundown-mountain-resort,42.51537836,-90.82115809,278.4266052,north,midwest
mt-brighton,42.541202,-83.810426,237.8682861,north,midwest
nashoba-valley,42.541845,-71.445039,134.6596985,north,east
jiminy-peak,42.554926,-73.29081,409.3187561,north,east
kissing-bridge,42.599492,-78.653726,344.7320557,north,east
grand-geneva,42.611291,-88.385897,234.3180542,north,midwest
berkshire-east,42.621273,-72.876504,506.7426453,north,east
mount-greylock-south-williamstown,42.634058,-73.21487,461.7456665,north,east
hunt-hollow-ski-club,42.645466,-77.478225,344.6202698,north,east
alpine-valley-white-lake,42.653043,-83.523445,232.6303711,north,midwest
buffalo,42.68182309,-78.69140137,311.419281,north,east
alpine-valley-resort-elkhorn,42.735006,-88.428352,237.8242645,north,midwest
labrador-mountain,42.740758,-76.030168,233.4072266,north,east
bradford,42.744172,-71.056286,47.06584167,north,east
bristol-mountain,42.744885,-77.405104,297.6080322,north,east
pine-knob,42.745259,-83.369223,234.3567963,north,midwest
hogadon-ski-area,42.749556,-106.343786,1813.878418,north,rockies
song-mountain,42.77338,-76.157999,229.611145,north,east
pebble-creek,42.778872,-112.158907,1658.348633,north,rockies
maple-ski-ridge,42.81669055,-74.02967911,196.3108521,north,east
toggenburg-ski-center,42.825648,-75.960042,219.4165649,north,east
mt-holly,42.83072267,-83.56489359,237.16922,north,midwest
living-memorial-park-brattleboro,42.84789,-72.585845,496.8717041,north,east
the-rock-snowpark,42.92000775,-88.01603617,228.303009,north,midwest
haystack-mountain-the-hermitage-club,42.923423,-72.895763,613.2310181,north,east
mount-snow,42.966814,-72.89485,627.5233765,north,east
granite-gorge,42.970635,-72.212133,415.4725952,north,east
cazenovia,42.976909,-75.852665,191.1867828,north,east
white-pine-pinedale,42.977325,-109.75792,2185.422852,north,rockies
mcintyre,43.006085,-71.440863,175.3530884,north,east
crotched-mountain,43.011316,-71.877515,315.7561646,north,east
the-ridge-le-roy,43.020571,-77.953745,253.4979095,north,east
willard-mountain-greenwich,43.021237,-73.517474,443.7146912,north,east
four-seasons,43.03513332,-75.97246397,186.7418976,north,east
tyrol-basin-mt-horeb,43.04568351,-89.78254969,323.8820496,north,midwest
cannonsburg,43.05341343,-85.50186255,211.9803619,north,midwest
mulligans-hollow-ski-bowl,43.057605,-86.240105,161.6474457,north,midwest
pando-park,43.082479,-85.469172,216.7866211,north,midwest
blackhawk-ski-club-middleton,43.082742,-89.570114,304.4972229,north,midwest
royal-mountain,43.084271,-74.503495,231.1495667,north,east
val-bialas-ski-center-utica,43.084299,-75.250423,198.052002,north,east
stratton,43.113359,-72.908996,624.5422363,north,east
ausblick-sussex,43.133836,-88.264724,238.7424927,north,midwest
brantling,43.149149,-77.065583,150.5948029,north,east
pats-peak,43.163171,-71.796016,293.5978088,north,east
mt-bailey,43.17716428,-122.137158,1474.36438,north,west
magic-mountain,43.202075,-72.771769,571.6073608,north,east
bromley-mountain,43.21308389,-72.9356396,615.5667114,north,east
powderhouse-hill-south-berwick,43.237044,-70.80223,30.6509552,north,east
heiliger-huegel-hubertus,43.252327,-88.31075,240.7485809,north,midwest
west-mountain,43.286523,-73.726314,416.4883728,north,east
woods-valley,43.30176915,-75.38353483,245.513504,north,east
mt-sunapee,43.330009,-72.080424,376.9044189,north,east
little-switzerland,43.338279,-88.27902,240.89534,north,midwest
fox-hill,43.374678,-88.252262,240.8696136,north,midwest
okemo,43.402358,-72.717696,530.6964722,north,east
devils-head,43.419135,-89.626604,290.3431702,north,midwest
veterans-memorial-franklin,43.444855,-71.690924,272.2438049,north,east
ascutney-mountain,43.464308,-72.465321,464.3943176,north,east
snow-king-mountain-jackson,43.47259049,-110.7607455,2040.400513,north,rockies
hickory,43.475747,-73.816339,446.2809448,north,east
ragged-mountain,43.484491,-71.84254,314.551239,north,east
soldier-mountain,43.484664,-114.829039,1825.451782,north,rockies
sunburst,43.493317,-88.222792,241.8703766,north,midwest
rotarun,43.497159,-114.365479,1757.111206,north,rockies
cascade-mountain,43.503414,-89.51834,278.963623,north,midwest
blizzard-mountain,43.50799538,-113.5596635,1848.158325,north,rockies
oak-mountain,43.514407,-74.360834,415.0556946,north,east
gunstock,43.540585,-71.366086,190.3946381,north,east
great-bear-ski-valley,43.577802,-96.665145,456.2147217,north,midwest
jackson-hole,43.588652,-110.828308,2033.900269,north,rockies
willamette-pass-crescent,43.600684,-122.035419,1486.814697,north,west
whaleback,43.601569,-72.181096,394.6594849,north,east
christmas-mountain,43.608789,-89.859785,293.1450195,north,midwest
abenaki,43.609331,-71.229985,160.6346436,north,east
killington,43.617802,-72.803472,520.340332,north,east
storrs-hill-lebanon,43.634795,-72.251497,407.7286682,north,east
snow-ridge,43.64071345,-75.42136198,312.082489,north,east
kelly-canyon,43.6457709,-111.6302937,1744.591431,north,rockies
quechee-lakes-ski-area,43.657244,-72.443146,444.2240601,north,east
dynamite-hill-chestertown,43.659391,-73.795588,501.0388489,north,east
pico-mountain,43.660762,-72.843712,521.963562,north,east
saskadena-six,43.665303,-72.544619,463.2731628,north,east
bald-mountain-sun-valley,43.67035711,-114.3679837,1941.646973,north,rockies
gore-mountain,43.67356271,-74.00791936,493.1131897,north,east
eagle-island-park,43.685743,-116.396197,1253.995239,north,rockies
dollar-mountain-sun-valley,43.68989527,-114.3458387,1954.218506,north,rockies
mccauly-mountain,43.698201,-74.962839,468.5627136,north,east
