resort,url,maps_url,lat,lon,altitude,beg,int,adv
winterplace,https://www.skiresort.info/ski-resort/winterplace/,"https://www.google.com/maps?q=37.598673728347606,-81.12190152467664",37.59867373,-81.12190152,622.3665161,37,40,23
purgatory-durango,https://www.skiresort.info/ski-resort/purgatory-durango/,"https://www.google.com/maps?q=37.629341,-107.814996",37.629341,-107.814996,2514.126709,18,47,35
mammoth-mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,"https://www.google.com/maps?q=37.65126810468928,-119.03808832168579",37.6512681,-119.0380883,1976.289795,20,54,26
badger-pass,https://www.skiresort.info/ski-resort/badger-pass/,"https://www.google.com/maps?q=37.661718,-119.664132",37.661718,-119.664132,1413.8302,35,50,15
brian-head,https://www.skiresort.info/ski-resort/brian-head/,"https://www.google.com/maps?q=37.692907,-112.847212",37.692907,-112.847212,1798.820923,27,42,31
june-mountain,https://www.skiresort.info/ski-resort/june-mountain/,"https://www.google.com/maps?q=37.767891,-119.090585",37.767891,-119.090585,1925.334473,15,40,45
kendall-mountain-silverton,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,"https://www.google.com/maps?q=37.811174,-107.656118",37.811174,-107.656118,2805.816406,59,29,12
silverton-mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,"https://www.google.com/maps?q=37.884149,-107.665809",37.884149,-107.665809,2850.882324,,,
wintergreen-resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,"https://www.google.com/maps?q=37.920292,-78.938969",37.920292,-78.938969,403.7949524,20,40,40
telluride,https://www.skiresort.info/ski-resort/telluride/,"https://www.google.com/maps?q=37.937173,-107.820766",37.937173,-107.820766,2710.873291,9,58,33
the-omni-homestead,https://www.skiresort.info/ski-resort/the-omni-homestead/,"https://www.google.com/maps?q=37.99667127039012,-79.82435599339574",37.99667127,-79.82435599,786.4300537,52,41,7
lake-city-ski-hill,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,"https://www.google.com/maps?q=38.010959,-107.311915",38.010959,-107.311915,3363.0625,70,30,
lees-ski-hill-ouray,https://www.skiresort.info/ski-resort/lees-ski-hill-ouray/,"https://www.google.com/maps?q=38.019359,-107.669219",38.019359,-107.669219,2937.004395,100,,
dodge-ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,"https://www.google.com/maps?q=38.18922,-119.956171",38.18922,-119.956171,1691.334839,20,40,40
cimarron-mountain-club,https://www.skiresort.info/ski-resort/cimarron-mountain-club/,"https://www.google.com/maps?q=38.296964,-107.617037",38.296964,-107.617037,3014.178467,,,
eagle-point,https://www.skiresort.info/ski-resort/eagle-point/,"https://www.google.com/maps?q=38.317114,-112.386361",38.317114,-112.386361,1981.117798,30,45,25
massanutten,https://www.skiresort.info/ski-resort/massanutten/,"https://www.google.com/maps?q=38.403059,-78.755633",38.403059,-78.755633,387.8514404,25,44,31
snowshoe-mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,"https://www.google.com/maps?q=38.414703,-79.984106",38.414703,-79.984106,773.4474487,46,35,19
bear-valley,https://www.skiresort.info/ski-resort/bear-valley/,"https://www.google.com/maps?q=38.493096,-120.045478",38.493096,-120.045478,1698.449829,25,41,34
monarch,https://www.skiresort.info/ski-resort/monarch/,"https://www.google.com/maps?q=38.511429,-106.332427",38.511429,-106.332427,2871.58252,16,45,39
hidden-valley-mo,https://www.skiresort.info/ski-resort/hidden-valley-mo/,"https://www.google.com/maps?q=38.53639,-90.652407",38.53639,-90.652407,218.8961639,25,50,25
paoli-peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,"https://www.google.com/maps?q=38.555066,-86.512048",38.555066,-86.512048,151.2902679,39,46,15
cranor-ski-hill-gunnison,https://www.skiresort.info/ski-resort/cranor-ski-hill-gunnison/,"https://www.google.com/maps?q=38.586793,-106.895685",38.586793,-106.895685,3327.205566,82,18,
kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,"https://www.google.com/maps?q=38.683211,-120.067869",38.683211,-120.067869,1720.667358,23,46,31
fairfax-peak-planned,https://www.skiresort.info/ski-resort/fairfax-peak-planned/,"https://www.google.com/maps?q=38.686479,-77.251346",38.686479,-77.251346,134.3336639,100,,
sierra-at-tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,"https://www.google.com/maps?q=38.80058342532893,-120.07898891288043",38.80058343,-120.0789889,1739.307739,26,49,25
bryce-resort,https://www.skiresort.info/ski-resort/bryce-resort/,"https://www.google.com/maps?q=38.816756,-78.766501",38.816756,-78.766501,411.5587158,40,56,4
ski-maxx-colorado-springs,https://www.skiresort.info/ski-resort/ski-maxx-colorado-springs/,"https://www.google.com/maps?q=38.895854,-104.83805",38.895854,-104.83805,2608.949951,100,,
crested-butte,https://www.skiresort.info/ski-resort/crested-butte/,"https://www.google.com/maps?q=38.898836,-106.965439",38.898836,-106.965439,3216.984619,26,57,17
heavenly,https://www.skiresort.info/ski-resort/heavenly/,"https://www.google.com/maps?q=38.956864,-119.942636",38.956864,-119.942636,1867.478394,19,45,36
canaan-valley,https://www.skiresort.info/ski-resort/canaan-valley/,"https://www.google.com/maps?q=39.00730330585612,-79.43718959609882",39.00730331,-79.4371896,529.6520386,30,40,30
timberline-mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,"https://www.google.com/maps?q=39.042424,-79.400341",39.042424,-79.400341,522.1775513,34,33,33
powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,"https://www.google.com/maps?q=39.06923,-108.150219",39.06923,-108.150219,2745.642578,13,39,48
homewood-mountain-resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,"https://www.google.com/maps?q=39.084521326557265,-120.16120970249176",39.08452133,-120.1612097,1692.492188,30,65,5
inside-ski-training-center-leesburg,https://www.skiresort.info/ski-resort/inside-ski-training-center-leesburg/,"https://www.google.com/maps?q=39.107882,-77.564435",39.107882,-77.564435,263.6479492,100,,
perfect-north-slopes,https://www.skiresort.info/ski-resort/perfect-north-slopes/,"https://www.google.com/maps?q=39.146957,-84.885601",39.146957,-84.885601,222.3733673,40,40,20
granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,"https://www.google.com/maps?q=39.154632,-120.154231",39.154632,-120.154231,1701.19812,50,50,
aspen-highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,"https://www.google.com/maps?q=39.180942,-106.855913",39.180942,-106.855913,3097.550781,18,30,52
aspen-mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,"https://www.google.com/maps?q=39.186354,-106.818230",39.186354,-106.81823,3085.351563,,48,52
palisades-tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,"https://www.google.com/maps?q=39.195861,-120.23533",39.195861,-120.23533,1609.126831,26,42,32
buttermilk-mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,"https://www.google.com/maps?q=39.205345,-106.860261",39.205345,-106.860261,3094.887451,35,39,26
snowmass,https://www.skiresort.info/ski-resort/snowmass/,"https://www.google.com/maps?q=39.212634,-106.920657",39.212634,-106.920657,3111.561035,5,48,47
diamond-peak,https://www.skiresort.info/ski-resort/diamond-peak/,"https://www.google.com/maps?q=39.25394,-119.922981",39.25394,-119.922981,1841.755127,12,49,39
northstar-california-resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,"https://www.google.com/maps?q=39.274109,-120.119721",39.274109,-120.119721,1738.823853,26,46,28
sugar-bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,"https://www.google.com/maps?q=39.30489,-120.33256",39.30489,-120.33256,1513.034912,17,45,38
donner-ski-ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,"https://www.google.com/maps?q=39.31810550283003,-120.33076822757721",39.3181055,-120.3307682,1516.663086,25,50,25
soda-springs,https://www.skiresort.info/ski-resort/soda-springs/,"https://www.google.com/maps?q=39.320857,-120.379686",39.320857,-120.379686,1465.853027,30,50,20
mt-rose,https://www.skiresort.info/ski-resort/mt-rose/,"https://www.google.com/maps?q=39.326679142826286,-119.88506019115448",39.32667914,-119.8850602,1819.469604,20,30,50
boreal,https://www.skiresort.info/ski-resort/boreal/,"https://www.google.com/maps?q=39.335787,-120.35059",39.335787,-120.35059,1498.461914,30,55,15
sky-tavern,https://www.skiresort.info/ski-resort/sky-tavern/,"https://www.google.com/maps?q=39.336568152489086,-119.8742627487239",39.33656815,-119.8742627,1814.31604,59,41,
tahoe-donner,https://www.skiresort.info/ski-resort/tahoe-donner/,"https://www.google.com/maps?q=39.353754,-120.259337",39.353754,-120.259337,1594.353149,43,57,
cooper,https://www.skiresort.info/ski-resort/cooper/,"https://www.google.com/maps?q=39.359856,-106.300793",39.359856,-106.300793,2919.102539,31,38,31
sunlight-mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,"https://www.google.com/maps?q=39.400418643839544,-107.33943657860021",39.40041864,-107.3394366,2915.216797,20,55,25
snow-creek,https://www.skiresort.info/ski-resort/snow-creek/,"https://www.google.com/maps?q=39.46658,-94.970171",39.46658,-94.970171,255.4720917,41,56,3
breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,"https://www.google.com/maps?q=39.485392,-106.047732",39.485392,-106.047732,2848.888916,18,39,43
copper-mountain,https://www.skiresort.info/ski-resort/copper-mountain/,"https://www.google.com/maps?q=39.49901996555826,-106.14614527945103",39.49901997,-106.1461453,2872.693115,24,32,44
wisp-mchenry-deep-creek-lake,https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,"https://www.google.com/maps?q=39.556844,-79.364263",39.556844,-79.364263,543.1723022,35,38,27
frisco-adventure-park,https://www.skiresort.info/ski-resort/frisco-adventure-park/,"https://www.google.com/maps?q=39.574092,-106.078196",39.574092,-106.078196,2854.444336,100,,
snoebahn-centennial,https://www.skiresort.info/ski-resort/snoebahn-centennial/,"https://www.google.com/maps?q=39.590920,-104.962487",39.59092,-104.962487,2076.323975,100,,
keystone,https://www.skiresort.info/ski-resort/keystone/,"https://www.google.com/maps?q=39.603888,-105.953873",39.603888,-105.953873,2801.227051,19,48,33
beaver-creek,https://www.skiresort.info/ski-resort/beaver-creek/,"https://www.google.com/maps?q=39.632961,-106.533131",39.632961,-106.533131,2953.260742,19,43,38
vail,https://www.skiresort.info/ski-resort/vail/,"https://www.google.com/maps?q=39.638437,-106.369074",39.638437,-106.369074,2916.749756,24,36,40
arapahoe-basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,"https://www.google.com/maps?q=39.641486,-105.87231",39.641486,-105.87231,2733.317383,8,33,59
loveland,https://www.skiresort.info/ski-resort/loveland/,"https://www.google.com/maps?q=39.679952,-105.897662",39.679952,-105.897662,2748.595459,13,41,46
echo-mountain-park-idaho-springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,"https://www.google.com/maps?q=39.684591,-105.518802",39.684591,-105.518802,2423.902344,67,33,
whitetail,https://www.skiresort.info/ski-resort/whitetail/,"https://www.google.com/maps?q=39.741572,-77.934438",39.741572,-77.934438,323.6401367,15,55,30
liberty-mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,"https://www.google.com/maps?q=39.763111,-77.374124",39.763111,-77.374124,211.5574036,33,45,22
plumas-eureka-ski-bowl,https://www.skiresort.info/ski-resort/plumas-eureka-ski-bowl/,"https://www.google.com/maps?q=39.767073,-120.699594",39.767073,-120.699594,1309.20874,67,23,10
mystic-mountain-farmington,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,"https://www.google.com/maps?q=39.814008,-79.546123",39.814008,-79.546123,498.6682434,59,26,15
winter-park-resort,https://www.skiresort.info/ski-resort/winter-park-resort/,"https://www.google.com/maps?q=39.874749,-105.760349",39.874749,-105.760349,2573.724121,8,37,55
eldora-mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,"https://www.google.com/maps?q=39.937995,-105.584643",39.937995,-105.584643,2350.523926,21,50,29
seven-springs,https://www.skiresort.info/ski-resort/seven-springs/,"https://www.google.com/maps?q=40.022098,-79.298971",40.022098,-79.298971,594.3474121,35,41,24
