resort,url,maps_url,lat,lon
bald-mountain-sun-valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,"https://www.google.com/maps?q=43.67035710594862,-114.36798373036906",43.67035710594862,-114.36798373036906
sommet-saint-sauveur,https://www.skiresort.info/ski-resort/sommet-saint-sauveur/,"https://www.google.com/maps?q=45.885176,-74.149872",45.885176,-74.149872
whiteface-lake-placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,"https://www.google.com/maps?q=44.357867,-73.859582",44.357867,-73.859582
yellowstone-club,https://www.skiresort.info/ski-resort/yellowstone-club/,"https://www.google.com/maps?q=45.241393,-111.411737",45.241393,-111.411737
northstar-california-resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,"https://www.google.com/maps?q=39.274109,-120.119721",39.274109,-120.119721
le-massif-de-charlevoix,https://www.skiresort.info/ski-resort/le-massif-de-charlevoix/,"https://www.google.com/maps?q=47.278890,-70.610519",47.278890,-70.610519
mt-norquay-banff,https://www.skiresort.info/ski-resort/mt-norquay-banff/,"https://www.google.com/maps?q=51.204706,-115.599368",51.204706,-115.599368
castle-mountain,https://www.skiresort.info/ski-resort/castle-mountain/,"https://www.google.com/maps?q=49.318643,-114.41536",49.318643,-114.41536
schweitzer-mountain-resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,"https://www.google.com/maps?q=48.368246,-116.623607",48.368246,-116.623607
stratton,https://www.skiresort.info/ski-resort/stratton/,"https://www.google.com/maps?q=43.113359,-72.908996",43.113359,-72.908996
june-mountain,https://www.skiresort.info/ski-resort/june-mountain/,"https://www.google.com/maps?q=37.767891,-119.090585",37.767891,-119.090585
arapahoe-basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,"https://www.google.com/maps?q=39.641486,-105.87231",39.641486,-105.87231
mt-hood-meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,"https://www.google.com/maps?q=45.333078,-121.665081",45.333078,-121.665081
taos,https://www.skiresort.info/ski-resort/taos/,"https://www.google.com/maps?q=36.594168,-105.449465",36.594168,-105.449465
aspen-mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,"https://www.google.com/maps?q=39.186354,-106.818230",39.186354,-106.818230
whitefish-mountain-resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,"https://www.google.com/maps?q=48.484071,-114.353785",48.484071,-114.353785
sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,"https://www.google.com/maps?q=45.053814,-70.310322",45.053814,-70.310322
sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,"https://www.google.com/maps?q=44.135287,-72.89625",44.135287,-72.89625
angel-fire,https://www.skiresort.info/ski-resort/angel-fire/,"https://www.google.com/maps?q=36.386512795005395,-105.27187724163403",36.386512795005395,-105.27187724163403
homewood-mountain-resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,"https://www.google.com/maps?q=39.084521326557265,-120.16120970249176",39.084521326557265,-120.16120970249176
whitewater-nelson,https://www.skiresort.info/ski-resort/whitewater-nelson/,"https://www.google.com/maps?q=49.442801,-117.144937",49.442801,-117.144937
sierra-at-tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,"https://www.google.com/maps?q=38.80058342532893,-120.07898891288043",38.80058342532893,-120.07898891288043
wolf-creek,https://www.skiresort.info/ski-resort/wolf-creek/,"https://www.google.com/maps?q=37.472653,-106.794555",37.472653,-106.794555
purgatory-durango,https://www.skiresort.info/ski-resort/purgatory-durango/,"https://www.google.com/maps?q=37.629341,-107.814996",37.629341,-107.814996
cypress-mountain,https://www.skiresort.info/ski-resort/cypress-mountain/,"https://www.google.com/maps?q=49.397276,-123.203655",49.397276,-123.203655
le-mont-grand-fonds,https://www.skiresort.info/ski-resort/le-mont-grand-fonds/,"https://www.google.com/maps?q=47.771039,-70.102194",47.771039,-70.102194
bolton-valley,https://www.skiresort.info/ski-resort/bolton-valley/,"https://www.google.com/maps?q=44.410532961408045,-72.86410049773016",44.410532961408045,-72.86410049773016
sugar-bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,"https://www.google.com/maps?q=39.30489,-120.33256",39.30489,-120.33256
jay-peak,https://www.skiresort.info/ski-resort/jay-peak/,"https://www.google.com/maps?q=44.938861,-72.505903",44.938861,-72.505903
okemo,https://www.skiresort.info/ski-resort/okemo/,"https://www.google.com/maps?q=43.402358,-72.717696",43.402358,-72.717696
mount-snow,https://www.skiresort.info/ski-resort/mount-snow/,"https://www.google.com/maps?q=42.966814,-72.89485",42.966814,-72.89485
apex-mountain-resort,https://www.skiresort.info/ski-resort/apex-mountain-resort/,"https://www.google.com/maps?q=49.38712,-119.896583",49.38712,-119.896583
red-lodge-mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,"https://www.google.com/maps?q=45.190566,-109.336904",45.190566,-109.336904
bear-valley,https://www.skiresort.info/ski-resort/bear-valley/,"https://www.google.com/maps?q=38.493096,-120.045478",38.493096,-120.045478
powder-mountain,https://www.skiresort.info/ski-resort/powder-mountain/,"https://www.google.com/maps?q=41.383583,-111.776844",41.383583,-111.776844
bretton-woods,https://www.skiresort.info/ski-resort/bretton-woods/,"https://www.google.com/maps?q=44.259573,-71.461719",44.259573,-71.461719
mt-rose,https://www.skiresort.info/ski-resort/mt-rose/,"https://www.google.com/maps?q=39.326679142826286,-119.88506019115448",39.326679142826286,-119.88506019115448
smugglers-notch,https://www.skiresort.info/ski-resort/smugglers-notch/,"https://www.google.com/maps?q=44.571821,-72.776163",44.571821,-72.776163
49-degrees-north-mountain-resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,"https://www.google.com/maps?q=48.301024,-117.56371",48.301024,-117.56371
alyeska-resort-girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,"https://www.google.com/maps?q=60.97006173416786,-149.096449963103",60.97006173416786,-149.096449963103
mont-blanc,https://www.skiresort.info/ski-resort/mont-blanc/,"https://www.google.com/maps?q=46.108559,-74.483279",46.108559,-74.483279
loveland,https://www.skiresort.info/ski-resort/loveland/,"https://www.google.com/maps?q=39.679952,-105.897662",39.679952,-105.897662
grouse-mountain,https://www.skiresort.info/ski-resort/grouse-mountain/,"https://www.google.com/maps?q=49.372366,-123.099103",49.372366,-123.099103
