resort,url,maps_url,lat,lon,altitude
keystone,https://www.skiresort.info/ski-resort/keystone/,"https://www.google.com/maps?q=39.603888,-105.953873",39.603888,-105.953873,2801.22705078125
silver-star,https://www.skiresort.info/ski-resort/silver-star/,"https://www.google.com/maps?q=50.359905,-119.057151",50.359905,-119.057151,1137.96337890625
tremblant,https://www.skiresort.info/ski-resort/tremblant/,"https://www.google.com/maps?q=46.209921,-74.585952",46.209921,-74.585952,354.6205444335937
lake-louise,https://www.skiresort.info/ski-resort/lake-louise/,"https://www.google.com/maps?q=51.44223764219798,-116.16120974423362",51.44223764219798,-116.16120974423362,2077.406005859375
big-white,https://www.skiresort.info/ski-resort/big-white/,"https://www.google.com/maps?q=49.745161,-118.979655",49.745161,-118.979655,1411.2908935546875
killington,https://www.skiresort.info/ski-resort/killington/,"https://www.google.com/maps?q=43.617802,-72.803472",43.617802,-72.803472,520.34033203125
mont-sainte-anne,https://www.skiresort.info/ski-resort/mont-sainte-anne/,"https://www.google.com/maps?q=47.077093,-70.906942",47.077093,-70.906942,155.3998565673828
sunday-river,https://www.skiresort.info/ski-resort/sunday-river/,"https://www.google.com/maps?q=44.473126,-70.857466",44.473126,-70.857466,299.766357421875
winter-park-resort,https://www.skiresort.info/ski-resort/winter-park-resort/,"https://www.google.com/maps?q=39.874749,-105.760349",39.874749,-105.760349,2573.72412109375
heavenly,https://www.skiresort.info/ski-resort/heavenly/,"https://www.google.com/maps?q=38.956864,-119.942636",38.956864,-119.942636,1867.4783935546875
red-mountain-resort-rossland,https://www.skiresort.info/ski-resort/red-mountain-resort-rossland/,"https://www.google.com/maps?q=49.102358857824385,-117.8201790832859",49.10235885782439,-117.8201790832859,1434.513671875
snowbird,https://www.skiresort.info/ski-resort/snowbird/,"https://www.google.com/maps?q=40.581069,-111.656408",40.581069,-111.656408,1770.218017578125
fernie,https://www.skiresort.info/ski-resort/fernie/,"https://www.google.com/maps?q=49.46149874184043,-115.08710932570456",49.46149874184043,-115.08710932570456,1723.46044921875
bromont,https://www.skiresort.info/ski-resort/bromont/,"https://www.google.com/maps?q=45.300770,-72.636734",45.30077,-72.636734,159.95574951171875
snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,"https://www.google.com/maps?q=41.216532569162,-111.857333723758",41.216532569162,-111.857333723758,1496.866943359375
stowe,https://www.skiresort.info/ski-resort/stowe/,"https://www.google.com/maps?q=44.510799,-72.767531",44.510799,-72.767531,308.26483154296875
sunshine-village,https://www.skiresort.info/ski-resort/sunshine-village/,"https://www.google.com/maps?q=51.114838,-115.764055",51.114838,-115.764055,1963.6873779296875
steamboat,https://www.skiresort.info/ski-resort/steamboat/,"https://www.google.com/maps?q=40.45724,-106.804345",40.45724,-106.804345,2755.007568359375
alta,https://www.skiresort.info/ski-resort/alta/,"https://www.google.com/maps?q=40.58859040,-111.6388612",40.5885904,-111.6388612,1787.4676513671875
